CourseNo,slotID,RoomNo,Section,StudentGroup,Session
CSE4203,Wed12.10.7A06,7A06,B,3,2
CSE4204,Thu1.00.7B05,7B05,B,3,3
CSE4101,Sat8.00.7A05,7A05,A,3,1
CSE4129,Sat8.50.7A05,7A05,A,3,1
CSE4107,Sat9.40.7A05,7A05,A,3,1
CSE4101,Sun8.50.7A05,7A05,A,3,1
IPE4111,Sun9.40.7A05,7A05,A,3,1
CSE4130,Sun10.30.7B05,7A05,A,3,2
CSE4102,Sun1.00.7B05,7A05,A,2,3
CSE4125,Tue8.00.7A05,7A05,A,3,1
CSE4129,Tue8.50.7A05,7A05,A,3,1
IPE4111,Tue9.40.7A05,7A05,A,3,1
CSE4102,Tue10.30.7B05,7B05,A,1,2
CSE4108,Tue1.00.7B08,7B08,A,3,3
CSE4101,Wed8.00.7A05,7A05,A,3,1
CSE4125,Wed8.50.7A05,7A05,A,3,1
CSE4125,Wed9.40.7A05,7A05,A,3,1
CSE4129,Thu8.00.7A05,7A05,A,3,1
CSE4107,Thu8.50.7A05,7A05,A,3,1
IPE4111,Thu9.40.7A05,7A05,A,3,1
CSE4107,Thu10.30.7A05,7A05,A,3,2
CSE4126,Thu1.00.7B06,7B06,A,3,3
CSE4107,Sat8.00.7A06,7A06,B,3,1
CSE4101,Sat8.50.7A06,7A06,B,3,1
CSE4129,Sat9.40.7A06,7A06,B,3,1
IPE4111,Sun8.00.7A06,7A06,B,3,1
CSE4107,Sun8.50.7A06,7A06,B,3,1
CSE4101,Sun9.40.7A06,7A06,B,3,1
CSE4102,Sun10.30.7B07,7B07,B,1,2
CSE4126,Sun1.00.7B01,7B01,B,3,3
CSE4108,Mon8.00.7B01,7B01,B,3,1
CSE4107,Mon10.30.7A06,7A06,B,3,2
CSE4129,Mon11.20.7A06,7A06,B,3,2
CSE4125,Mon12.10.7A06,7A06,B,3,2
CSE4125,Wed8.00.7A06,7A06,B,3,1
CSE4101,Wed8.50.7A06,7A06,B,3,1
IPE4111,Wed9.40.7A06,7A06,B,3,1
CSE4102,Wed10.30.7B07,7B07,B,2,2
CSE4130,Wed1.00.7B05,7B05,B,3,3
IPE4111,Thu8.00.7A06,7A06,B,3,1
CSE4129,Thu8.50.7A06,7A06,B,3,1
CSE4125,Thu9.40.7A06,7A06,B,3,1
CSE4101,Sun8.00.7A07,7A07,C,3,1
IPE4111,Sun8.50.7A07,7A07,C,3,1
CSE4107,Sun9.40.7A07,7A07,C,3,1
CSE4126,Sun10.30.7B08,7B08,C,3,2
CSE4125,Mon10.30.7A07,7A07,C,3,2
CSE4107,Mon11.20.7A07,7A07,C,3,2
CSE4129,Mon12.10.7A07,7A07,C,3,2
CSE4102,Mon1.00.7B06,7B06,C,1,3
IPE4111,Tue8.00.7A07,7A07,C,3,1
CSE4125,Tue8.50.7A07,7A07,C,3,1
CSE4129,Tue9.40.7A07,7A07,C,3,1
CSE4108,Tue10.30.7B07,7B07,C,3,2
IPE4111,Wed8.00.7A07,7A07,C,3,1
CSE4101,Wed9.40.7A07,7A07,C,3,1
CSE4130,Wed10.30.7B05,7B05,C,3,2
CSE4102,Thu8.00.7B07,7B07,C,2,1
CSE4129,Thu10.30.7A07,7A07,C,3,2
CSE4125,Thu11.20.7A07,7A07,C,3,2
CSE4101,Thu12.10.7A07,7A07,C,3,2
CSE4107,Thu1.00.7A07,7A07,C,3,3
CSE3223,Sat12.10.7C06,7C06,A,3,2
CSE3213,Sat1.00.7C06,7C06,A,3,3
CSE3215,Sat1.50.7C06,7C06,A,3,3
CSE3211,Sun8.00.7C06,7C06,A,3,1
CSE3211,Sun8.50.7C06,7C06,A,3,1
CSE3213,Sun9.40.7C06,7C06,A,3,1
CSE3200,Sun10.30.7B01,7B01,A,3,2
CSE3214,Mon1.00.7B08,7B08,A,1,3
CSE3211,Tue10.30.7C06,7C06,A,3,2
CSE3215,Tue11.20.7C06,7C06,A,3,2
CSE3223,Tue12.10.7C06,7C06,A,3,2
CSE3214,Wed8.00.7B05,7B05,A,2,1
CSE3224,Wed10.30.7B01,7B01,A,3,2
CSE3223,Wed1.00.7C06,7C06,A,3,3
HUM3207,Wed1.50.7C06,7C06,A,3,3
HUM3207,Wed2.40.7C06,7C06,A,3,3
CSE3216,Thu10.30.7B07,7B07,A,3,2
HUM3207,Thu1.00.7C06,7C06,A,3,3
CSE3213,Thu1.50.7C06,7C06,A,3,3
