ID,CourseNo,Section,StudentGroup,CourseType
363,freetime,null,null,null
364,freetime,null,null,null
365,freetime,null,null,null
366,freetime,null,null,null
367,freetime,null,null,null
368,freetime,null,null,null
369,freetime,null,null,null
370,freetime,null,null,null
371,freetime,null,null,null
372,freetime,null,null,null
373,freetime,null,null,null
374,freetime,null,null,null
375,freetime,null,null,null
376,freetime,null,null,null
377,freetime,null,null,null
378,CSE1108,A,2,Lab
379,CSE1102,A,1,Lab
380,CSE1102,A,2,Lab
381,CSE1108,A,1,Lab
382,CSE1108,B,1,Lab
383,CSE1102,B,1,Lab
384,CSE1102,B,2,Lab
385,CSE1108,B,2,Lab
386,CSE1102,C,1,Lab
387,CSE1102,C,2,Lab
388,CSE1108,C,1,Lab
389,CSE1108,C,2,Lab
390,CSE1206,A,2,Lab
391,CSE1200,A,2,Lab
392,CSE1200,A,1,Lab
393,CSE1206,A,1,Lab
394,CSE1200,B,1,Lab
395,CSE1200,B,2,Lab
396,CSE1206,B,1,Lab
397,CSE1206,B,2,Lab
398,CSE2100,A,3,Lab
399,CSE2106,A,1,Lab
400,CSE2100,B,3,Lab
401,CSE2106,B,2,Lab
402,CSE2106,B,1,Lab
403,CSE2100,C,3,Lab
404,CSE2106,C,2,Lab
405,CSE2106,C,1,Lab
406,CSE2208,A,1,Lab
407,CSE2210,A,3,Lab
408,CSE2202,A,3,Lab
409,CSE2214,A,2,Lab
410,CSE2208,A,2,Lab
411,CSE2200,A,3,Lab
412,CSE2214,A,1,Lab
413,CSE2208,B,1,Lab
414,CSE2208,B,2,Lab
415,CSE2200,B,3,Lab
416,CSE2214,B,1,Lab
417,CSE2214,B,2,Lab
418,CSE2210,B,3,Lab
419,CSE2202,B,3,Lab
420,CSE3100,A,3,Lab
421,CSE3108,A,3,Lab
422,CSE3110,A,3,Lab
423,CSE3104,A,1,Lab
424,CSE3104,A,2,Lab
425,CSE3108,B,3,Lab
426,CSE3100,B,3,Lab
427,CSE3104,B,2,Lab
428,CSE3110,B,3,Lab
429,CSE3100,C,3,Lab
430,CSE3104,C,1,Lab
431,CSE3104,C,2,Lab
432,CSE3108,C,3,Lab
433,CSE3110,C,3,Lab
434,CSE3200,A,3,Lab
435,CSE3214,A,1,Lab
436,CSE3214,A,2,Lab
437,CSE3224,A,3,Lab
438,CSE3216,A,3,Lab
439,CSE3224,B,3,Lab
440,CSE3200,B,3,Lab
441,CSE3214,B,1,Lab
442,CSE3216,B,3,Lab
443,CSE3214,B,2,Lab
444,CSE4130,A,3,Lab
445,CSE4102,A,2,Lab
446,CSE4102,A,1,Lab
447,CSE4108,A,3,Lab
448,CSE4126,A,3,Lab
449,CSE4102,B,1,Lab
450,CSE4126,B,3,Lab
451,CSE4108,B,3,Lab
452,CSE4102,B,2,Lab
453,CSE4130,B,3,Lab
454,CSE4126,C,3,Lab
455,CSE4102,C,1,Lab
456,CSE4108,C,3,Lab
457,CSE4130,C,3,Lab
458,CSE4102,C,2,Lab
459,CSE4214,A,3,Lab
460,CSE4226,A,3,Lab
461,CSE4228,A,3,Lab
462,CSE4204,A,3,Lab
463,CSE4214,B,3,Lab
464,CSE4228,B,3,Lab
465,CSE4226,B,3,Lab
466,CSE4204,B,3,Lab
467,CSE2106,A,2,Lab
468,CSE3104,B,1,Lab
469,CSE2104,A,2,Lab
470,CSE2104,A,1,Lab
471,CSE2104,B,1,Lab
472,CSE2104,B,2,Lab
473,CSE2104,C,1,Lab
474,CSE2104,C,2,Lab
475,freetime,null,null,null
476,freetime,null,null,null
477,freetime,null,null,null
478,freetime,null,null,null
479,freetime,null,null,null
480,freetime,null,null,null
481,freetime,null,null,null
482,freetime,null,null,null
483,freetime,null,null,null
484,freetime,null,null,null
485,freetime,null,null,null
